Source,Target,Weight
1,2,3635
2,34,2794
3,34,1864
3,2,1703
1,34,866
5,34,806
1,5,600
5,2,594
6,2,539
7,2,509
2,121,471
8,2,457
2,110,420
9,2,411
10,34,406
6,34,384
11,34,352
8,1,344
10,1,335
12,2,329
13,2,319
2,15,317
13,1,311
14,139,300
10,47,283
2,23,281
15,34,271
13,34,258
16,14,256
6,1,247
6,23,239
1,15,237
1,23,236
16,139,229
17,13,220
18,34,218
12,121,213
7,1,212
8,38,191
2,36,190
19,107,187
17,1,178
20,34,175
21,15,172
2,30,168
13,15,168
16,1,166
1,9,166
1,44,164
18,2,163
2,44,158
6,10,156
2,65,153
22,2,151
1,121,147
2,129,146
2,140,144
2,64,143
23,34,142
17,2,141
1,54,140
24,2,140
10,15,140
1,65,138
7,5,137
16,2,136
25,2,136
15,23,136
26,2,135
21,1,133
1,3,132
27,2,131
17,34,129
2,103,127
6,5,126
2,47,125
28,21,121
29,15,120
12,34,115
2,141,115
9,5,114
1,47,113
30,95,112
8,5,112
8,22,111
25,17,111
8,34,110
1,40,109
1,30,109
31,2,109
2,142,106
21,2,106
12,1,106
2,14,104
13,77,104
5,121,104
32,2,103
33,2,103
15,143,101
6,44,100
8,121,99
1,36,97
34,121,97
18,1,97
23,44,97
35,5,97
36,34,96
37,2,95
38,121,95
39,103,95
40,143,94
18,5,94
10,2,92
20,1,92
37,1,91
8,65,89
41,1,87
8,9,87
12,7,87
1,64,85
8,91,85
42,81,83
43,2,82
21,34,82
34,144,81
2,19,80
44,34,80
45,1,79
46,5,79
47,23,79
28,1,78
13,54,78
46,1,77
44,40,77
25,13,77
47,34,77
17,44,76
34,30,76
1,50,76
12,5,76
2,95,75
2,145,75
17,67,74
7,34,74
2,57,74
27,1,74
2,146,74
48,1,73
49,1,73
8,7,73
50,2,72
51,2,72
52,2,72
43,1,71
2,63,71
2,108,70
35,2,70
15,44,70
2,107,69
5,23,69
46,2,69
29,64,68
39,80,68
1,77,67
2,56,67
7,121,67
1,56,66
2,54,66
21,44,66
11,5,66
9,34,65
25,21,65
2,147,64
24,34,64
53,2,63
5,36,63
1,110,63
52,1,63
32,1,63
33,5,63
51,1,62
17,23,62
45,5,62
2,139,61
1,19,61
1,129,61
1,57,61
52,51,61
48,15,61
10,3,60
1,14,60
20,10,60
8,23,60
16,50,60
29,1,60
15,64,60
48,2,59
8,43,59
1,95,59
8,44,59
5,129,59
32,75,59
54,34,59
15,40,59
1,61,58
1,107,58
2,96,58
55,69,58
54,15,58
2,148,58
10,23,57
10,29,57
2,149,57
56,56,56
43,44,56
57,34,56
58,2,56
7,130,56
1,101,55
11,2,55
59,2,54
1,63,54
1,143,54
35,1,54
13,67,54
60,22,54
61,85,53
2,61,53
13,150,53
1,69,53
62,1,53
10,16,53
63,63,53
13,106,52
1,147,52
38,2,52
5,103,52
64,34,51
34,95,51
65,34,50
2,40,50
29,34,50
17,8,50
13,36,50
1,96,50
39,121,50
1,108,49
13,48,49
2,101,49
2,82,49
66,82,49
45,2,49
39,1,49
1,139,48
21,23,48
28,15,48
1,81,48
49,2,48
43,22,48
9,121,48
2,143,48
67,1,47
6,21,47
52,36,47
39,82,47
41,2,46
47,40,46
41,40,46
56,63,46
10,21,46
1,144,45
13,44,45
1,33,45
22,1,45
13,10,45
6,8,45
1,151,45
2,80,45
12,9,45
68,2,45
61,152,45
49,15,45
67,34,45
69,2,45
65,44,44
6,29,44
56,82,44
34,143,44
49,21,44
59,34,43
70,34,43
17,65,43
17,6,43
1,153,43
6,65,43
10,154,43
18,23,43
29,47,43
39,66,43
71,51,43
72,155,43
8,13,42
73,2,42
74,1,42
9,36,42
8,36,42
10,150,42
13,144,42
2,153,42
5,15,42
68,1,41
61,95,41
13,5,41
67,2,41
1,156,41
13,23,41
1,26,41
75,2,41
12,39,41
76,15,41
13,95,40
10,7,40
2,81,40
1,82,40
29,157,40
12,10,40
28,143,40
8,147,40
34,61,39
21,40,39
21,143,39
5,30,39
48,157,39
77,2,39
2,144,38
13,29,38
28,2,38
41,47,38
22,147,38
13,7,38
38,147,38
39,107,38
8,12,37
78,77,37
79,1,37
51,34,37
80,82,37
8,48,37
44,143,37
78,15,37
31,5,37
13,64,36
10,144,36
14,14,36
1,109,36
20,3,36
29,41,36
6,43,36
81,150,36
41,44,36
82,19,36
34,40,36
6,26,36
10,90,36
46,34,36
69,34,36
39,158,36
23,65,35
49,44,35
83,2,35
6,95,35
52,34,35
29,21,35
80,107,35
48,44,35
2,124,35
28,10,35
2,159,35
27,5,35
41,15,35
52,15,35
13,65,34
41,34,34
25,77,34
80,19,34
84,98,34
6,101,34
10,41,34
6,160,34
45,8,34
1,157,33
85,2,33
86,34,33
49,34,33
34,14,33
8,18,33
28,29,33
7,9,33
25,148,33
12,130,33
39,19,33
2,120,33
39,9,33
31,1,33
1,146,32
29,48,32
48,34,32
6,41,32
78,13,32
5,56,32
34,56,32
5,19,32
2,42,32
43,23,32
1,142,32
7,22,32
56,19,32
10,40,31
2,151,31
8,110,31
34,150,31
23,143,31
8,68,31
87,8,31
13,121,31
67,44,31
24,13,31
66,107,31
1,149,31
7,39,31
78,1,30
6,40,30
2,109,30
29,23,30
16,34,30
17,77,30
54,154,30
10,54,30
5,107,30
82,107,30
76,1,30
37,34,30
38,1,30
8,67,30
69,64,30
66,19,30
56,107,30
33,36,30
5,141,30
34,161,29
88,2,29
77,150,29
29,154,29
5,14,29
11,1,29
13,98,29
32,5,29
89,2,29
68,34,29
13,30,29
90,34,29
91,1,29
1,124,29
92,13,29
26,34,29
9,146,29
25,44,29
2,127,28
23,40,28
46,45,28
91,2,28
79,40,28
6,13,28
28,34,28
93,1,28
1,154,28
94,43,28
63,124,28
73,1,28
46,9,28
12,33,28
67,23,28
92,1,28
21,156,28
25,23,28
33,34,28
46,39,28
43,34,27
28,23,27
95,2,27
96,95,27
83,1,27
6,150,27
1,150,27
5,110,27
97,51,27
13,84,27
98,106,27
99,2,27
8,30,27
77,15,27
45,7,27
63,117,27
12,13,27
15,65,27
13,148,27
5,146,27
53,145,27
45,121,27
1,90,26
6,42,26
54,144,26
6,48,26
100,17,26
30,162,26
34,63,26
1,42,26
84,106,26
45,12,26
66,56,26
6,30,26
101,44,26
49,52,26
5,63,26
13,81,26
102,29,26
8,19,26
26,65,26
103,158,26
8,15,26
104,116,26
38,7,26
58,34,26
15,157,26
85,1,25
1,163,25
105,34,25
106,164,25
52,8,25
14,165,25
34,81,25
10,157,25
1,136,25
29,116,25
5,26,25
6,143,25
13,18,25
7,110,25
101,34,25
56,124,25
13,21,25
21,47,25
14,166,24
6,61,24
43,41,24
6,81,24
21,150,24
34,108,24
1,80,24
107,107,24
107,19,24
48,23,24
45,9,24
59,1,24
1,66,24
14,167,24
1,140,24
52,21,24
25,8,24
6,11,24
22,15,24
39,56,24
108,19,23
1,119,23
93,2,23
13,168,23
13,164,23
17,21,23
48,65,23
